date,symbol,name,open,high,low,close,adj_close,volume,return_1d,return_7d,return_30d,log_return_1d,sma_7,sma_30,sma_90,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist,bb_mid_20,bb_upper,bb_lower,bb_width,atr_14,volatility_30d,hl_range_pct,volume_sma_7,close_btc_ratio,feargreed_value,feargreed_class,mkt_sp500,mkt_nasdaq,mkt_gold,mkt_oil,mkt_vix,mkt_us10y,mkt_dxy,btc_hashrate_thps,btc_difficulty,btc_n_transactions,btc_active_addresses,btc_est_tx_volume_usd,btc_miner_revenue_usd,btc_tx_fees_usd,btc_circulating_supply,year,month,day_of_week,is_weekend
2017-12-07,ADA,Cardano,0.117766,0.124176,0.105501,0.105501,0.105501,71024600,-0.10470216,-0.11996694,,-0.11059883,0.12602971,,,0.10455588,0.07957689,69.52059646,0.02497898,0.02156103,0.00341796,0.0762832,0.17097718,-0.01841077,2.48269539,0.02370729,,17.70125292,64330900.57142857,5.89e-06,,,2636.97998047,6812.83984375,1249.80004883,56.68999863,10.15999985,2.37599993,93.80000305,11941671.1962486,1590896927258.0,374917.0,869099.0,5271885974.64757,34256501.8456203,5616087.21212116,16726887.5,2017,12,3,0
2017-12-08,ADA,Cardano,0.106142,0.120726,0.099136,0.115465,0.115465,70092400,0.09444457,-0.12094986,,0.09024699,0.12376014,0.06278503,,0.1062342,0.08223527,70.83714363,0.02399893,0.02204861,0.00195032,0.080738,0.17391569,-0.01243969,2.30814954,0.02513271,,18.69830198,63821586.28571428,6.97e-06,,,2651.5,6840.08007812,1245.19995117,57.36000061,9.57999992,2.3829999,93.90000153,12337090.7722833,1590896927258.0,385092.0,902012.0,4805489431.71187,41311081.4101853,10208103.2795171,16728837.5,2017,12,4,0
2017-12-09,ADA,Cardano,0.114745,0.13866,0.113561,0.119609,0.119609,63308600,0.03588965,-0.09627429,2.73160059,0.03526062,0.12193986,0.06570357,,0.10829186,0.0850037,71.12443275,0.02328817,0.02229652,0.00099165,0.08531425,0.17657392,-0.00594542,2.13937703,0.02673264,0.19555106,20.9842087,64763872.0,7.88e-06,,,2651.5,6840.08007812,1245.19995117,57.36000061,9.57999992,2.3829999,93.90000153,13760601.2460083,1590896927258.0,403399.0,877575.0,3943426403.66603,42165253.3814881,8662237.31368736,16731012.5,2017,12,5,1
2017-12-10,ADA,Cardano,0.119794,0.119794,0.100133,0.110281,0.110281,46376600,-0.07798745,-0.16331455,3.0665585,-0.08119644,0.11886471,0.06847563,,0.10859788,0.08687609,67.23889639,0.0217218,0.02218158,-0.00045978,0.08934925,0.17730986,0.00138864,1.96891656,0.0274415,0.19296465,17.82809569,64752114.85714286,7.14e-06,,,2651.5,6840.08007812,1245.19995117,57.36000061,9.57999992,2.3829999,93.90000153,12969762.0939389,1590896927258.0,341420.0,739392.0,3660690673.76365,38120250.2377464,6991555.21904185,16733062.5,2017,12,6,1
2017-12-11,ADA,Cardano,0.108927,0.121383,0.108638,0.121383,0.121383,39513900,0.10067009,-0.10662397,3.42406233,0.09591917,0.11679514,0.07160717,,0.11056482,0.08943216,66.74916317,0.02113267,0.02197179,-0.00083913,0.0940019,0.17813331,0.00987049,1.78999378,0.0268665,0.19304932,10.49981739,59483714.28571428,7.17e-06,,,2659.98999023,6875.08007812,1243.69995117,57.99000168,9.34000015,2.38499999,93.87000275,13523349.5003875,1590896927258.0,368598.0,867655.0,4272284928.3315096,44253709.9617747,8125731.32931001,16735200.0,2017,12,0,0
2017-12-12,ADA,Cardano,0.121177,0.138008,0.114222,0.133891,0.133891,60056800,0.10304577,0.05022433,4.58414313,0.09807524,0.11770986,0.07527097,,0.11415347,0.0927254,54.57295988,0.02142806,0.02186305,-0.00043498,0.099269,0.17923367,0.01930433,1.61107038,0.02258114,0.19003879,17.76519756,60865957.14285714,7.69e-06,,,2664.11010742,6862.31982422,1238.5,57.13999939,9.92000008,2.40300012,94.09999847,12337090.7722833,1590896927258.0,372977.0,867772.0,5729890455.48235,42937956.7643401,9282311.14537737,16737150.0,2017,12,1,0
2017-12-13,ADA,Cardano,0.13373899,0.141854,0.122368,0.13428099,0.13428099,61575000,0.00291277,0.1395293,4.20307654,0.00290853,0.12005871,0.07888673,,0.11725001,0.0958036,67.81878744,0.02144641,0.02177972,-0.00033331,0.10461085,0.17840924,0.03081246,1.41091268,0.01929657,0.19026827,14.51136305,58849700.0,8.18e-06,,,2662.85009766,6875.79980469,1245.40002441,56.59999847,10.18000031,2.34899998,93.43000031,14709608.2284917,1590896927258.0,424579.0,958477.0,4755215235.39204,50475052.9011524,10426814.1329204,16739475.0,2017,12,2,0
2017-12-14,ADA,Cardano,0.13366701,0.240753,0.131843,0.240753,0.240753,309307008,0.79290447,1.2819972,8.17853585,0.58383691,0.13938043,0.0860375,,0.13625047,0.10654059,80.01460425,0.02970988,0.02336575,0.00634413,0.1152294,0.20269456,0.02776424,1.51810495,0.02431978,0.21313034,45.23723344,92890044.0,1.453e-05,,,2652.01000977,6856.52978516,1253.80004883,57.04000092,10.48999977,2.34599996,93.48999786,14630524.3132847,1590896927258.0,490644.0,1072862.0,3607678570.59655,49974171.3334026,10815786.4124489,16741787.5,2017,12,3,0
2017-12-15,ADA,Cardano,0.233209,0.233209,0.187032,0.213467,0.213467,207311008,-0.11333605,0.84875938,7.07211216,-0.12028923,0.15338071,0.09227157,,0.14812994,0.11446106,68.90578554,0.03366887,0.02542638,0.0082425,0.1243804,0.21278853,0.03597227,1.42157657,0.02684836,0.21577037,21.63191472,112492702.28571428,1.206e-05,,,2675.81005859,6936.58007812,1254.30004883,57.29999924,9.42000008,2.35500002,93.93000031,13365181.6699736,1590896927258.0,405676.0,942514.0,4219284344.1263003,48342967.7609509,10559331.866578,16743900.0,2017,12,4,0
2017-12-16,ADA,Cardano,0.21287499,0.44719201,0.20423301,0.40466499,0.40466499,581052032,0.89567938,2.38323202,13.67240705,0.63957728,0.194103,0.10484107,,0.18759687,0.13595765,83.42359048,0.05163922,0.03066894,0.02097027,0.14279705,0.28872382,-0.00312973,2.04383459,0.04350707,0.23942053,60.03954176,186456049.71428573,2.075e-05,,,2675.81005859,6936.58007812,1254.30004883,57.29999924,9.42000008,2.35500002,93.93000031,13523349.5003875,1590896927258.0,364222.0,819305.0,3461171452.31103,49815223.7422835,9962630.74029451,16746037.5,2017,12,5,1
